Incident ID,Date, Confirmed Time,Estimated Time,Governorate,District,Area,Target,Main category,Sub-category,Air Raids,Naval,Fatalities ,Woman,Child,Injured ,Woman,Child
142,30/03/2015,20,Evening,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,unkn,,0,0,0,0,0,0
143,30/03/2015,15,Afternoon,Abyan,Khanfir,Shaqrah,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),unkn,unkn,0,0,0,0,0,0
144,30/03/2015,21,Evening,Abyan,Zinjibar,-,15th Infantry Brigade,Military_Security_Target,Military Site,unkn,unkn,0,0,0,0,0,0
145,30/03/2015,unkn,Evening,Abyan,Khanfir,Al-Kod,Civilians Gathering,Civilian,Social gathering,unkn,,0,0,0,0,0,0
146,30/03/2015,14,Midday,Aden,Khor Maksar,Al-Alam Checkpoint,Pro-Houthi reinforcement,Military_Security_Target,Moving Target (weapons/fighters),1,unkn,2,0,0,3,0,0
147,30/03/2015,unkn,Afternoon,Aden,Khor Maksar,Al-Areesh,Bus (with civilians onboard),Civilian,Vehicle/Buss,1,,6,1,0,0,0,0
148,30/03/2015,20,Evening,Aden,Khor Maksar,-,Aden Airport,Infrastructure,Transport,1,,0,0,0,0,0,0
149,30/03/2015,unkn,Evening,Aden,Khor Maksar,Near President Hadi House,Residential Area,Civilian,Residential Area,unkn,,13,1,0,0,0,0
150,30/03/2015,unkn,Evening,Aden,Khor Maksar,-,39th Armoured Brigade,Military_Security_Target,Military Site,1,,0,0,0,0,0,0
151,30/03/2015,unkn,Evening,Aden,Al-Mualla,-,Aden Port,Infrastructure,Transport,2,,0,0,0,0,0,0
152,30/03/2015,1,Midday,Hajja,Harad,Al-Mazraq,IDPs Camp,Civilian,Residential Area,4,,29,0,0,41,11,14
153,30/03/2015,unkn,Evening,Ibb,Yarim,Bab Al-Dhawrain,4 Houses,Civilian,Residential Area,unkn,,0,0,0,0,0,0
154,30/03/2015,unkn,Evening,Ibb,Yarim,Bab Al-Dhawrain,2 Gas stations,Economic_infrastructure,Oil & Gas,unkn,,0,0,0,0,0,0
155,30/03/2015,21,Evening,Lahj,Tuban,Al-Husayni,Pro-Houthi forces,Military_Security_Target,Forces,3,,0,0,0,0,0,0
156,30/03/2015,23,Night,Lahj,Al-Musyamir,-,Al-Wataniyah Cement Factory,Infrastructure,Factory,unkn,,5,0,0,5,0,0
